Reflectivity differences of selected regions
435
Wavelength(nm)   NDS         NDS-error   DBS           DBS-error     SBS          SBS_error
      475.000   -0.0387400   0.00925350   -0.0376251   0.00734010    0.0255982    0.0119889
      476.000   -0.0361720   0.00778042   -0.0428653   0.00652885    0.0228983    0.0103245
      477.000   -0.0423744   0.00796667   -0.0474674   0.00809690    0.0386446    0.0111703
      478.000  -0.00909832   0.00206065  -0.00681919   0.00160360    0.0180354   0.00273963
      479.000   -0.0102439   0.00257883  -0.00728864   0.00228831    0.0138174   0.00408100
      480.000   -0.0113894   0.00309699  -0.00775808   0.00297299   0.00959950   0.00542233
      481.000   -0.0125350   0.00361518  -0.00822753   0.00365770   0.00538149   0.00676370
      482.000   -0.0290544   0.00350693  -0.00902116   0.00615725    0.0255288    0.0120105
      483.000   -0.0222448   0.00397404  -0.00518078   0.00955675    0.0418099    0.0141921
      484.000   -0.0209740   0.00390360   -0.0131750   0.00904780    0.0271632    0.0103335
      485.000   -0.0182220   0.00195280   -0.0184084   0.00443908   0.00883743   0.00634680
      486.000   -0.0229168   0.00273945   -0.0215059   0.00426900   0.00866958   0.00638400
      487.000   -0.0190986   0.00378039   -0.0120319   0.00387418   0.00756571   0.00699195
      488.000   -0.0469365   0.00711699   -0.0163465   0.00998775    0.0165545   0.00984795
      489.000   -0.0563635   0.00687156 -0.000886500    0.0307732    0.0105067    0.0128488
      490.000   -0.0610468   0.00726088   -0.0294415    0.0127753   0.00867200    0.0112193
      491.000   -0.0625110   0.00775673   -0.0287665    0.0134689    0.0126155   0.00972045
      492.000   -0.0634335   0.00767147   -0.0244544    0.0106503    0.0117063    0.0100233
      493.000   -0.0576466   0.00768318   -0.0197423   0.00929630    0.0169816   0.00948595
      494.000   -0.0461178   0.00882017   -0.0239819   0.00998430    0.0169258    0.0114536
      495.000   -0.0390670   0.00737497   -0.0243603    0.0104025    0.0150434    0.0117802
      496.000   -0.0385345   0.00644653   -0.0230385    0.0109122    0.0155872    0.0115854
      497.000   -0.0399614   0.00851675   -0.0188487    0.0149985    0.0117493   0.00980385
      498.000   -0.0429583    0.0107247  -0.00985074    0.0176254   0.00194931   0.00973765
      499.000   -0.0494747   0.00850315  -0.00789875    0.0141015   0.00124723    0.0106519
      500.000   -0.0545543   0.00688870  -0.00873148    0.0112981    0.0108097    0.0132150
      501.000   -0.0570940   0.00743717   -0.0154729   0.00928970    0.0161122    0.0120042
      502.000   -0.0536707   0.00674812   -0.0166846    0.0102877   0.00272882   0.00922345
      503.000   -0.0479738   0.00497948  -0.00889039    0.0120868   -0.0104661   0.00911495
      504.000   -0.0429128   0.00459590   0.00146455    0.0136319  -0.00876689    0.0112006
      505.000   -0.0386676   0.00394676   0.00539839    0.0131084   0.00913715    0.0135537
      506.000   -0.0383678   0.00443770   0.00417286    0.0106196    0.0141863    0.0124983
      507.000   -0.0362213   0.00460135 -0.000791669   0.00653210   0.00387445    0.0103199
      508.000   -0.0308992   0.00396055  -0.00136286   0.00637370 -0.000221103    0.0100511
      509.000   -0.0302249   0.00647612   0.00132841   0.00926350   0.00157374    0.0122576
      510.000   -0.0354516   0.00552071  -0.00384131   0.00955145   0.00801691   0.00783780
      511.000   -0.0387152   0.00382962  -0.00452822    0.0122880    0.0153473   0.00692175
      512.000   -0.0428671   0.00381578  -0.00711417    0.0136921   0.00488240   0.00755880
      513.000   -0.0487854   0.00526113   -0.0197333    0.0105001  -0.00119674   0.00937320
      514.000   -0.0547918   0.00607333   -0.0195310    0.0110434   0.00733411    0.0108603
      515.000   -0.0602857   0.00574038  -0.00748444    0.0129684    0.0124187    0.0116516
      516.000   -0.0564751   0.00591786  -0.00502002    0.0115664  -0.00132596    0.0101158
      517.000   -0.0430633   0.00626777  -0.00344467   0.00837455  -0.00677043    0.0102162
      518.000   -0.0504834   0.00590917    0.0107348    0.0117140  0.000746071    0.0125047
      519.000   -0.0476905   0.00540534   0.00891787    0.0127212    0.0128592    0.0118059
      520.000   -0.0422727   0.00492218   0.00814307   0.00974305   0.00559103    0.0113225
      521.000   -0.0394188   0.00428264    0.0103917    0.0109355 -0.000158668    0.0102802
      522.000   -0.0433282   0.00424608   0.00982982    0.0126707   0.00775176   0.00909205
      523.000   -0.0506841   0.00476724   0.00305712    0.0117769    0.0117933   0.00825670
      524.000   -0.0509866   0.00558921    0.0115916    0.0134345    0.0150589   0.00762405
      525.000   -0.0442529   0.00577400   0.00741833    0.0115893   0.00337970   0.00781630
      526.000   -0.0457890   0.00729529   0.00112963    0.0140232   0.00492203   0.00718060
      527.000   -0.0397511   0.00781903  -0.00776666    0.0103376 -0.000186443   0.00821555
      528.000   -0.0499695   0.00662529  -0.00775355    0.0120579   0.00219131   0.00975605
      529.000   -0.0469502   0.00599349  -0.00125313    0.0105196 -0.000622928    0.0107626
      530.000   -0.0440581   0.00594574   0.00254101    0.0104104  0.000967562    0.0119027
      531.000   -0.0416098   0.00536778 -0.000269771    0.0107129  -0.00368369    0.0115683
      532.000   -0.0409737   0.00532688  -0.00300163   0.00957660   -0.0154068    0.0105094
