Background
Aerosol-1
wavelength, x-sec, SSA, f, g1, g2
     0.300000      8.28388     0.903693     0.999999     0.623491    -0.100000
     0.400000      3.83852     0.977042     0.999999     0.517184    -0.100000
     0.500000      1.99650     0.988536     0.992969     0.396174    -0.618580
     0.600000      1.11225     0.994091     0.921471     0.345809    -0.392335
     0.700000     0.853645     0.749541     0.830660     0.325686    -0.331703
     0.800000      1.00000     0.406126     0.761083     0.316018    -0.312286
     0.900000     0.329135     0.949283     0.711086     0.309988    -0.305540
      1.00000     0.211993     0.941769     0.670675     0.306889    -0.300922
 
Aerosol-2
wavelength, x-sec, SSA, f, g1, g2
     0.300000     0.893607     0.970640     0.947001     0.872031    -0.574610
     0.400000     0.938690     0.984559     0.947541     0.844683    -0.542635
     0.500000     0.975828     0.990092     0.952677     0.821423    -0.516779
     0.600000      1.00119     0.998325     0.959024     0.802154    -0.501846
     0.700000      1.00910     0.980050     0.968767     0.788845    -0.487322
     0.800000      1.00000     0.956550     0.977873     0.778670    -0.486173
     0.900000     0.988402     0.994059     0.978399     0.764909    -0.504974
      1.00000     0.955643     0.986778     0.984106     0.757327    -0.521581
 
Aerosol-3
wavelength, x-sec, SSA, f, g1, g2
     0.300000      35.6473     0.982264     0.920753     0.345781    -0.391129
     0.400000      14.0816     0.948273     0.758915     0.315810    -0.312026
     0.500000      5.96443     0.979216     0.668298     0.307168    -0.300182
     0.600000      2.91858     0.988658     0.617706     0.303486    -0.297458
     0.700000      1.61591     0.973707     0.586853     0.301591    -0.296741
     0.800000      1.00000     0.926649     0.566733     0.300478    -0.296620
     0.900000     0.714900     0.810950     0.553010     0.299722    -0.296745
      1.00000     0.520270     0.732713     0.542894     0.299322    -0.296759
 
NDS-2018
Aerosol-1
wavelength, x-sec, SSA, f, g1, g2
     0.300000      7.49127     0.889673     0.999999     0.625467    -0.100000
     0.400000      3.50126     0.955005     0.999999     0.519249    -0.100000
     0.500000      1.88824     0.937510     0.993397     0.396603    -0.623885
     0.600000      1.00575     0.990416     0.921980     0.345827    -0.393163
     0.700000     0.791879     0.719135     0.830819     0.325710    -0.331731
     0.800000      1.00000     0.362478     0.761480     0.316067    -0.312316
     0.900000     0.299883     0.958898     0.712085     0.309884    -0.305910
      1.00000     0.191460     0.948567     0.671172     0.306829    -0.301081
